,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
137,Rise,"Jonas Blue",795694,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
138,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",789844,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
139,"Te Boté - Remix","Nio Garcia",788754,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
140,"New Rules","Dua Lipa",785820,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
141,"Speechless (feat. Erika Sirola)","Robin Schulz",783086,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
142,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,778692,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
143,Noticed,"Lil Mosey",775427,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
144,Shotgun,"George Ezra",774689,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
145,"Electricity (with Dua Lipa)","Silk City",771843,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
146,"I Love It (& Lil Pump)","Kanye West",761183,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
147,Culpables,"Karol G",755709,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
148,"So Close",NOTD,749619,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
149,"Butterfly Doors","Lil Pump",746683,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3
150,BAD!,XXXTENTACION,744893,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
151,"Amigos Con Derechos",Reik,741838,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
152,monster,"21 Savage",739436,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
153,"I'm a Mess","Bebe Rexha",739352,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
154,"Asesina - Remix",Brytiago,738907,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
155,FRIENDS,Marshmello,737259,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
156,"7 Minutes","Dean Lewis",727065,https://open.spotify.com/track/2BkyYZmU4JuWW2sYi9EzpC
157,"Look Alive (feat. Drake)","BlocBoy JB",726956,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
158,Congratulations,"Post Malone",723563,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
