track_name,album,artists,duration_ms,episode,explicit,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,acousticness,analysis_url,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
Eastside (with Halsey & Khalid),FRIENDS KEEP SECRETS,"benny blanco, Halsey, Khalid",170769,False,False,https://api.spotify.com/v1/tracks/7FGq80cy8juXBCD2nrqdWU,7FGq80cy8juXBCD2nrqdWU,False,Eastside (with Halsey & Khalid),82,,True,1,track,spotify:track:7FGq80cy8juXBCD2nrqdWU,0.549,https://api.spotify.com/v1/audio-analysis/7FGq80cy8juXBCD2nrqdWU,0.632,0.686,0.0,6,0.2,-7.665,0,0.243,89.949,4,https://api.spotify.com/v1/tracks/7FGq80cy8juXBCD2nrqdWU,0.329
Space Cadet (feat. Gunna),NOT ALL HEROES WEAR CAPES (Deluxe),"Metro Boomin, Gunna",203266,False,True,https://api.spotify.com/v1/tracks/1fewSx2d5KIZ04wsooEBOz,1fewSx2d5KIZ04wsooEBOz,False,Space Cadet (feat. Gunna),87,,True,5,track,spotify:track:1fewSx2d5KIZ04wsooEBOz,0.368,https://api.spotify.com/v1/audio-analysis/1fewSx2d5KIZ04wsooEBOz,0.901,0.464,1.71e-05,5,0.238,-9.789,0,0.0645,109.004,4,https://api.spotify.com/v1/tracks/1fewSx2d5KIZ04wsooEBOz,0.638
Better,Suncity,Khalid,229320,False,False,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,6zeeWid2sgw4lap2jV61PZ,False,Better,87,https://p.scdn.co/mp3-preview/59f5d00716f1746194f556bd3fa05b1439533598?cid=2d7e45f1d409409e91fbbe0444ec166d,True,6,track,spotify:track:6zeeWid2sgw4lap2jV61PZ,0.0765,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,0.596,0.552,0.334,0,0.104,-10.278,0,0.097,97.949,4,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,0.112
Moonlight,?,XXXTENTACION,135090,False,True,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,0JP9xo3adEtGSdUEISiszL,False,Moonlight,92,,True,3,track,spotify:track:0JP9xo3adEtGSdUEISiszL,0.556,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,0.921,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,0.711
First Off (feat. Travis Scott),Future Hndrxx Presents: The WIZRD,"Future, Travis Scott",228366,False,True,https://api.spotify.com/v1/tracks/3WRIaWsws011vHMd9uzPjG,3WRIaWsws011vHMd9uzPjG,False,First Off (feat. Travis Scott),85,https://p.scdn.co/mp3-preview/6efd5258507b6c144f649262903251679d1ecf0c?cid=2d7e45f1d409409e91fbbe0444ec166d,True,17,track,spotify:track:3WRIaWsws011vHMd9uzPjG,0.013,https://api.spotify.com/v1/audio-analysis/3WRIaWsws011vHMd9uzPjG,0.734,0.683,0.0,1,0.28,-6.105,1,0.0776,162.038,4,https://api.spotify.com/v1/tracks/3WRIaWsws011vHMd9uzPjG,0.445
lovely,dont smile at me (Expanded Edition),"Billie Eilish, Khalid",200185,False,False,https://api.spotify.com/v1/tracks/1NJcg626wLln4pGHpiV7mf,1NJcg626wLln4pGHpiV7mf,False,lovely,62,,True,10,track,spotify:track:1NJcg626wLln4pGHpiV7mf,0.934,https://api.spotify.com/v1/audio-analysis/1NJcg626wLln4pGHpiV7mf,0.351,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,4,https://api.spotify.com/v1/tracks/1NJcg626wLln4pGHpiV7mf,0.12
MIA (feat. Drake),MIA (feat. Drake),"Bad Bunny, Drake",210367,False,False,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,116H0KvKr2Zl4RPuVBruDO,False,MIA (feat. Drake),96,https://p.scdn.co/mp3-preview/1aa25af8a24b4c54dad8958fe3478b78ce5088bb?cid=2d7e45f1d409409e91fbbe0444ec166d,True,1,track,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,0.158
Lost in the Fire (feat. The Weeknd),Lost in the Fire (feat. The Weeknd),"Gesaffelstein, The Weeknd",202093,False,True,https://api.spotify.com/v1/tracks/7wFybC8jBH3zE139OpCtpG,7wFybC8jBH3zE139OpCtpG,False,Lost in the Fire (feat. The Weeknd),90,https://p.scdn.co/mp3-preview/89497b2e71812f31bc545523e271b025df7cb4e7?cid=2d7e45f1d409409e91fbbe0444ec166d,True,1,track,spotify:track:7wFybC8jBH3zE139OpCtpG,0.0863,https://api.spotify.com/v1/audio-analysis/7wFybC8jBH3zE139OpCtpG,0.663,0.675,0.00133,2,0.117,-12.159,1,0.0359,101.004,4,https://api.spotify.com/v1/tracks/7wFybC8jBH3zE139OpCtpG,0.176
Sauce!,"XXXTENTACION Presents: Members Only, Vol. 4",XXXTENTACION,144724,False,True,https://api.spotify.com/v1/tracks/3jq1RpStaB1YGyN3rRZGca,3jq1RpStaB1YGyN3rRZGca,False,Sauce!,81,https://p.scdn.co/mp3-preview/19e8df4ce6af365de63a13f5fc1c038d69d29591?cid=2d7e45f1d409409e91fbbe0444ec166d,True,3,track,spotify:track:3jq1RpStaB1YGyN3rRZGca,0.582,https://api.spotify.com/v1/audio-analysis/3jq1RpStaB1YGyN3rRZGca,0.68,0.313,0.0,3,0.19,-13.672,0,0.0347,135.034,4,https://api.spotify.com/v1/tracks/3jq1RpStaB1YGyN3rRZGca,0.405
Crushed Up,Future Hndrxx Presents: The WIZRD,Future,149948,False,True,https://api.spotify.com/v1/tracks/7wcyO1rrH3Ru4t659IjG41,7wcyO1rrH3Ru4t659IjG41,False,Crushed Up,79,https://p.scdn.co/mp3-preview/be231848812d2be8e50cbbd80bb703ac9381f4f4?cid=2d7e45f1d409409e91fbbe0444ec166d,True,5,track,spotify:track:7wcyO1rrH3Ru4t659IjG41,0.0415,https://api.spotify.com/v1/audio-analysis/7wcyO1rrH3Ru4t659IjG41,0.781,0.597,0.0,10,0.152,-6.794,0,0.23,158.043,4,https://api.spotify.com/v1/tracks/7wcyO1rrH3Ru4t659IjG41,0.544
Shallow,A Star Is Born Soundtrack,"Lady Gaga, Bradley Cooper",215733,False,False,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B,False,Shallow,92,,True,12,track,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,0.323
Taste (feat. Offset),Taste (feat. Offset),"Tyga, Offset",232959,False,True,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,5IaHrVsrferBYDm0bDyABy,False,Taste (feat. Offset),91,https://p.scdn.co/mp3-preview/93d60b97736368a2dd3098c46b2a49c2bc762183?cid=2d7e45f1d409409e91fbbe0444ec166d,True,1,track,spotify:track:5IaHrVsrferBYDm0bDyABy,0.0236,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,0.884,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,4,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,0.342
